a	aː
aftureldingu	a f t ʏ r ɛ l t i ŋ k ʏ
afturendann	a f t ʏ r ɛ n t a n
afturfæturna	a f t ʏ r f aiː t ʏ t n a
afturkvæmt	a f t ʏ r k v ai m̥ t
afturlöppunum	a f t ʏ r l œ h p ɔ n ʏ m
afturstuðarann	a f t ʏ r s t ʏ ð a r a n
aftökur	a f t œ k ʏ r
afundin	aː v ʏ n t ɪ n
afundinn	aː v ʏ n t ɪ n
afurð	aː v ʏ r ð
afurða	aː v ʏ r ð a
afurðanna	aː v ʏ r ð a n a
afurðir	aː v ʏ r ð ɪ r
afurðirnar	aː v ʏ r ð ɪ t n a r
afurðum	aː v ʏ r ð ʏ m
afviknum	a v ɪ h k n ʏ m
afvopnun	a v ɔ h p n ʏ n
afþakka	a f θ a h k a
afþakkað	a f θ a h k a ð
afþakkaði	a f θ a h k a ð ɪ
afþreying	a f θ r ei j i ŋ k
afþreyingar	a f θ r ei j i ŋ k a r
afþreyingu	a f θ r ei j i ŋ k ʏ
aga	aː ɣ a
agatha	aː k a t a
aggagagg	a k a k a k
aggi	a c ɪ
aggý	a c i
agi	aiː j ɪ
aginn	aiː j ɪ n
agli	a k l ɪ
agn	a k n̥
agna	a k n a
agnar	a k n a r
agnari	a k n a r ɪ
agnars	a k n a r̥ s
agnarsmáu	a k n a r s m auː ʏ
agndofa	a k n t ɔ v a
agnes	a k n ɛ s
agnir	a k n ɪ r
agnið	a k n ɪ ð
agúrkunni	aː k u r̥ k ʏ n ɪ
aha	aː h a
ak	aː k
aka	aː k a
akademíunnar	aː k a t ɛ m i j ʏ n a r
akandi	aː k a n t ɪ
akfeitur	aː k f ei t ʏ r
aki	aː c ɪ
akkeri	a h c ɛ r ɪ
akkorð	a h k ɔ r ð
akkur	a h k ʏ r
akkúrat	a h k u r a t
aknet	aː kʰ n ɛ t
akraborginni	aː k r a p ɔ r c ɪ n ɪ
akrana	aː k r a n a
akranesapótek	aː k r a n ɛː s aː p ou t ɛ k
akrar	aː k r a r
akrein	aː k r ei n
akreina	aː k r ei n a
akreinar	aː k r ei n a r
akrinum	aː k r ɪ n ʏ m
akrópólis	aː k r ou p ou l ɪ s
akrýldúkur	aː k r i l t uː k ʏ r
akstri	a k s t r ɪ
akstur	a k s t ʏ r
aksturinn	a k s t ʏ r ɪ n
aksturs	a k s t ʏ r̥ s
aktu	a x t ʏ
aktygi	aː k t i ɪ
aktífir	a x t i v ɪ r
aktífur	a x t i v ʏ r
akur	aː k ʏ r
akureyrar	aː k ʏ r eiː r a r
akureyrarbæ	aː k ʏ r ei r a r p aiː
akureyringa	aː k ʏ r eiː r i ŋ k a
akureyringar	aː k ʏ r eiː r i ŋ k a r
akurlöndin	aː k ʏ r t l œ n t ɪ n
akuryrkju	aː k ʏ r ɪ r̥ c ʏ
akvegur	aː kʰ v ɛ ɣ ʏ r
al	aː l
ala	aː l a
alaska	aː l a s k a
alast	aː l a s t
albana	a l p a n a
albanar	a l p a n a r
albanska	a l p a n s k a
albanskra	a l p a n s k r a
albaníu	a l p a n i j ʏ
albatros	a l p a tʰ r ɔ s
albert	a l p ɛ r̥ t
alberts	a l p ɛ r̥ t s
albesta	a l p ɛ s t a
albjart	a l p j a r̥ t
albjört	a l p j œ r̥ t
albönsku	a l p œ n s k ʏ
albúin	a l p u ɪ n
albúinn	a l p u ɪ n
albúm	a l p u m
alda	a l t a
aldanna	a l t a n a
aldar	a l t a r
aldaraðir	a l t a r a ð ɪ r
aldarinnar	a l t a r ɪ n a r
aldeilis	a l t ei l ɪ s
aldimmt	a l t ɪ m̥ t
aldir	a l t ɪ r
aldirnar	a l t ɪ t n a r
aldna	a l t n a
aldni	a l t n ɪ
aldnir	a l t n ɪ r
aldraða	a l t r a ð a
aldraðir	a l t r a ð ɪ r
aldraðra	a l t r a ð r a
aldraðri	a l t r a ð r ɪ
aldraður	a l t r a ð ʏ r
aldrei	a l t r ei
aldri	a l t r ɪ
aldrinum	a l t r ɪ n ʏ m
aldur	a l t ʏ r
aldurinn	a l t ʏ r ɪ n
aldurs	a l t ʏ r̥ s
aldurshópar	a l t ʏ r̥ s h ouː p a r
aldurstakmarkið	a l t ʏ r̥ s t a k m a r̥ c ɪ ð
aldurtila	a l t ʏ r t ɪː l a
aldís	a l t i s
alefli	aː l ɛ p l ɪ
alein	aː l ei n
aleina	aː l ei n a
aleini	aː l ei n ɪ
aleinir	aː l ei n ɪ r
aleinn	aː l ei t n̥
alex	aː l ɛ k s
alexander	aː l ɛ k s a n t ɛ r
alexanders	aː l ɛ k s a n t ɛ r̥ s
alexandra	aː l ɛ k s a n t r a
alfaraleið	a l f a r a l eiː ð
alfarið	a l f a r ɪ ð
alfonso	a l f ɔ n s ɔ
alfreð	a l f r ɛ ð
alfreðs	a l f r ɛ ð s
algegnt	a l c ɛ j ŋ̊ t
algeirsborg	a l c ei r̥ s p ɔ r k
algeng	a l c ei ŋ k
algengar	a l c ei ŋ k a r
algengara	a l c ei ŋ k a r a
algengari	a l c ei ŋ k a r ɪ
algengast	a l c ei ŋ k a s t
algengasta	a l c ei ŋ k a s t a
algengir	a l c ei ɲ c ɪ r
algengt	a l c ei ŋ̊ t
algengum	a l c ei ŋ k ʏ m
algengur	a l c ei ŋ k ʏ r
algengust	a l c ei ŋ k ʏ s t
algengustu	a l c ei ŋ k ʏ s t ʏ
alger	a l c ɛ r
algera	a l c ɛ r a
algerar	a l c ɛ r a r
algerlega	a l c ɛ r l ɛ ɣ a
algerrar	a l c ɛ r a r
algerri	a l c ɛ r ɪ
algert	a l c ɛ r̥ t
algeru	a l c ɛ r ʏ
algild	a l c ɪ l t
algilt	a l c ɪ l̥ t
algjör	a l c œ r
algjöra	a l c œ r a
algjöran	a l c œ r a n
algjörlega	a l c œ r l ɛ ɣ a
algjörri	a l c œ r ɪ
algjört	a l c œ r̥ t
algjöru	a l c œ r ʏ
algjörum	a l c œ r ʏ m
algleymi	a l k l ei m ɪ
algleymingi	a l k l ei m i ɲ c ɪ
algróin	a l k r ou ɪ n
algyðishofið	a l k ɪ ð ɪ s h ɔː v ɪ ð
algóðan	a l k ou ð a n
algóður	a l k ou ð ʏ r
alheiminn	aː l h ei m ɪ n
alheiminum	aː l h ei m ɪ n ʏ m
alheimsins	aː l h ei m s ɪ n s
alheimurinn	aː l h ei m ʏ r ɪ n
alhliða	a l̥ ɪ ð a
alhug	aː l̥ ʏ ɣ
alhuga	aː l h ʏ ɣ a
alhvítur	aː l kʰ v i t ʏ r
ali	aː l ɪ
alin	aː l ɪ n
alinn	aː l ɪ n
alist	aː l ɪ s t
alið	aː l ɪ ð
alkalí	a l kʰ a l i
alkalírafhlöður	a l kʰ a l i r a f l̥ œ ð ʏ r
alklædd	a l k l ai t
alkominn	a l k ɔ m ɪ n
alkunna	a l k ʏ n a
alkunnri	a l kʰ ʏ n r ɪ
alkunnu	a l k ʏ n ʏ
alkóhólista	a l̥ k ou h ou l ɪ s t a
all	a t l̥
alla	a t l a
allan	a t l a n
allar	a t l a r
allavegana	a t l a v ɛ k a n a
allflestra	a t l̥ f l ɛ s t r a
allforhertur	a t l̥ f ɔː r h ɛ r̥ t ʏ r
allhressilega	a t l̥ r̥ ɛ s ɪ l ɛ ɣ a
alli	a l ɪ
allir	a t l ɪ r
allmargar	a t l̥ m a r k a r
allmörg	a t l̥ m œ r k
allmörgum	a t l̥ m œ r k ʏ m
allnokkra	a t l̥ n ɔ h k r a
allnokkrar	a t l̥ n ɔ h k r a r
allnokkrum	a t l̥ n ɔ h k r ʏ m
allnokkur	a t l̥ n ɔ h k ʏ r
allnokkuð	a t l̥ n ɔ h k ʏ ð
allnáið	a t l̥ n au ɪ ð
alloft	a t l ɔ f t
allra	a t l̥ r a
allrar	a t l̥ r a r
allri	a t l̥ r ɪ
alls	a l s
allsber	a l s p ɛ r
allsberir	a l s p ɛ r ɪ r
allsendis	a l s ɛ n t ɪ s
allsherjar	a l s h ɛ r j a r
allskonar	a l s k ɔ n a r
allskostar	a l s k ɔ s t a r
allskyns	a l s c ɪ n s
allsráðandi	a l s r au ð a n t ɪ
allstaðar	a l s t a ð a r
allstóran	a t l̥ s t ouː r a n
allt	a l̥ t
alltaf	a l̥ t a v
alltsvo	a l̥ t s ɔ
alltumlykjandi	a l̥ t ʏ m l ɪ c a n t ɪ
alltént	a t l̥ t j ɛ n̥ t
allur	a t l ʏ r
allvel	a t l̥ v ɛː l
allveruleg	a t l̥ v ɛː r ʏ l ɛ ɣ
allverulega	a t l̥ v ɛː r ʏ l ɛ ɣ a
allverulegt	a t l̥ v ɛː r ʏ l ɛ x t
alma	a l m a
almanakið	a l m a n aː c ɪ ð
almannafé	a l m a n a f j ɛː
almannahagsmunir	a l m a n a h a x s m ʏ n ɪ r
almar	a l m a r
almarsson	a l m a r̥ s ɔː n
almenn	a l m ɛ n
almenna	a l m ɛ n a
almennan	a l m ɛ n a n
almennar	a l m ɛ n a r
almennari	a l m ɛ n a r ɪ
almenni	a l m ɛ n ɪ
almennileg	a l m ɛ n ɪ l ɛ ɣ
almennilega	a l m ɛ n ɪ l ɛ ɣ a
almennilegan	a l m ɛ n ɪ l ɛ ɣ a n
almennilegir	a l m ɛ n ɪ l eiː j ɪ r
almennilegt	a l m ɛ n ɪ l ɛ x t
almennilegum	a l m ɛ n ɪ l ɛ ɣ ʏ m
almennilegur	a l m ɛ n ɪ l ɛ ɣ ʏ r
almenning	a l m ɛ n i ŋ k
almenningi	a l m ɛ n i ɲ c ɪ
almenninginn	a l m ɛ n i ɲ c ɪ n
almenningnum	a l m ɛ n i ŋ k n ʏ m
almennings	a l m ɛ n i ŋ k s
almenningstindur	a l m ɛ n i ŋ s t ɪ n t ʏ r
almenningsálitið	a l m ɛ n i ŋ k s auː l ɪ t ɪ ð
almenningur	a l m ɛ n i ŋ k ʏ r
almennir	a l m ɛ n ɪ r
almennra	a l m ɛ n r a
almennrar	a l m ɛ n r a r
almennri	a l m ɛ n r ɪ
almenns	a l m ɛ n s
almennt	a l m ɛ n̥ t
almennum	a l m ɛ n ʏ m
almennur	a l m ɛ n ʏ r
almáttugan	a l m au h t ʏ ɣ a n
almáttugs	a l m au h t ʏ x s
almáttugur	a l m au h t ʏ ɣ ʏ r
almættinu	a l m ai h t ɪ n ʏ
almættið	a l m ai h t ɪ ð
almúgann	a l m u ɣ a n
almúgans	a l m u ɣ a n s
almúginn	a l m u j ɪ n
alnæmi	a l n ai m ɪ
alnæmis	a l n ai m ɪ s
alpagreinar	a l̥ p a k r ei n a r
alpagreinum	a l̥ p a k r ei n ʏ m
alpaklúbburinn	a l̥ p a kʰ l u p ʏ r ɪ n
alrangt	a l r au ŋ̊ t
alræmda	a l r ai m t a
alræmdu	a l r ai m t ʏ
alræmdur	a l r ai m t ʏ r
alræði	a l r ai ð ɪ
alríkislögreglunnar	a l r i c ɪ s t l œ ɣ r ɛ k l ʏ n a r
als	a l s
alsett	a l s ɛ h t
alsettum	aː l s ɛ h t ʏ m
alsettur	a l s ɛ h t ʏ r
alskegg	a l s c ɛ k
alsnjóa	aː l s t n j ou a
alsoddi	a l s ɔ t ɪ
alstaðar	a l s t a ð a r
alsæll	a l s ai t l̥
alsælu	a l s ai l ʏ
alsír	a l s i r
alt	a l̥ t
altalandi	aː l t aː l a n t ɪ
altari	a l̥ t a r ɪ
altarinu	a l̥ t a r ɪ n ʏ
altaris	a l̥ t a r ɪ s
altarið	a l̥ t a r ɪ ð
altekin	a l t ɛ c ɪ n
altekinn	a l t ɛ c ɪ n
altekið	a l t ɛ c ɪ ð
alténd	a l t j ɛ n̥ t
alvara	a l v a r a
alvaran	a l v a r a n
alvarleg	a l v a r l ɛ ɣ
alvarlega	a l v a r l ɛ ɣ a
alvarlegan	a l v a r l ɛ ɣ a n
alvarlegar	a l v a r l ɛ ɣ a r
alvarlegasta	a l v a r l ɛ ɣ a s t a
alvarlegir	a l v a r l ei j ɪ r
alvarlegra	a l v a r l ɛ ɣ r a
alvarlegri	a l v a r l ɛ ɣ r ɪ
alvarlegs	a l v a r l ɛ x s
alvarlegt	a l v a r l ɛ x t
alvarlegu	a l v a r l ɛ ɣ ʏ
alvarlegum	a l v a r l ɛ ɣ ʏ m
alvarlegur	a l v a r l ɛ ɣ ʏ r
alvarlegustu	a l v a r l ɛ ɣ ʏ s t ʏ
alvarleika	a l v a r l eiː k a
alveg	a l v ɛ ɣ
alveldi	a l v ɛ l t ɪ
alversta	a l v ɛ r̥ s t a
alvitur	a l v ɪ t ʏ r
alviðru	a l v ɪ ð r ʏ
alvæpni	a l v ai h p n ɪ
alvöru	a l v œ r ʏ
alvörugefni	a l v œ r ʏ c ɛ p n ɪ
alvöruna	a l v œ r ʏ n a
alvörunni	a l v œ r ʏ n ɪ
alúð	aː l u ð
alúðlegur	aː l u ð l ɛ ɣ ʏ r
alþekkt	a l θ ɛ x t
alþingi	a l θ i ɲ c ɪ
alþingis	a l θ i ɲ c ɪ s
alþjóð	a l θ j ou ð
alþjóða	a l θ j ou ð a
alþjóðagjaldeyrissjóðurinn	a l θ j ou ð a c a l t ei r ɪ s j ou ð ʏ r ɪ n
alþjóðasamfélaginu	a l θ j ou ð a s a m f j ɛ l ai j ɪ n ʏ
alþjóðasamfélagið	a l θ j ou ð a s a m f j ɛ l ai j ɪ ð
alþjóðasveitanna	a l θ j ou ð a s v eiː t a n a
alþjóðasveitirnar	a l θ j ou ð a s v eiː t ɪ t n a r
alþjóðavæðing	a l θ j ou ð a v aiː ð i ŋ k
alþjóðavæðingar	a l θ j ou ð a v aiː ð i ŋ k a r
alþjóðavæðingu	a l θ j ou ð a v aiː ð i ŋ k ʏ
alþjóðlegan	a l θ j ou ð l ɛ ɣ a n
alþjóðlegi	a l θ j ou ð l ei j ɪ
alþjóðlegir	a l θ j ou ð l ei j ɪ r
alþjóðlegrar	a l θ j ou ð l ɛ ɣ r a r
alþjóðlegum	a l θ j ou ð l ɛ ɣ ʏ m
alþýða	a l θ i ð a
alþýðan	a l θ i ð a n
alþýðu	a l θ i ð ʏ
alþýðubandalaginu	a l θ i ð ʏ p a n t a l ai j ɪ n ʏ
alþýðunnar	a l θ i ð ʏ n a r
alþýðunni	a l θ i ð ʏ n ɪ
ama	aː m a
amalegt	aː m a l ɛ x t
amalía	aː m a l i j a
amalíu	aː m a l i j ʏ
amanda	aː m a n t a
amar	aː m a r
amast	aː m a s t
amaði	aː m a ð ɪ
ambassadorinn	a m p a s a t ɔ r ɪ n
ambátt	a m p au h t
ambáttin	a m p au h t ɪ n
ambáttir	a m p au h t ɪ r
amen	aː m ɛ n
ameríka	aː m ɛ r i k a
ameríkana	aː m ɛ r i k aː n a
ameríkanar	aː m ɛ r i k aː n a r
ameríkanarnir	aː m ɛ r i k a n a t n ɪ r
ameríkani	aː m ɛ r i k aː n ɪ
ameríkaninn	aː m ɛ r i k aː n ɪ n
ameríku	aː m ɛ r i k ʏ
amerísk	aː m ɛ r i s k
ameríska	aː m ɛ r i s k a
amerískan	aː m ɛ r i s k a n
amerískar	aː m ɛ r i s k a r
ameríski	aː m ɛ r i s c ɪ
amerískir	aː m ɛ r i s c ɪ r
amerískri	aː m ɛ r i s k r ɪ
amerískt	aː m ɛ r i s t
amerísku	aː m ɛ r i s k ʏ
amerískum	aː m ɛ r i s k ʏ m
amerískur	aː m ɛ r i s k ʏ r
ametyst	aː m ɛ t ɪ s t
amfetamín	a m f ɛ t a m iː n
amfetamíni	a m f ɛ t a m iː n ɪ
amfetamíns	a m f ɛ t a m i n s
amma	a m a
amman	a m a n
amper	a m̥ p ɛ r
amsterdam	a m s t ɛ r t a m
amstri	a m s t r ɪ
amstur	a m s t ʏ r
amtmanni	a m̥ t m a n ɪ
amtmanns	a m̥ t m a n s
amtmannsins	a m̥ t m a n s ɪ n s
amtmaður	a m̥ t m a ð ʏ r
amtsbókasafnið	a m̥ t s p ou k a s a p n ɪ ð
ana	aː n a
ananas	aː n a n a s
anarkismi	aː n a r c ɪ s m ɪ
anarkista	aː n a r c ɪ s t a
anarkistar	aː n a r c ɪ s t a r
anda	a n t a
andakt	a n t a x t
andaktugur	a n t a x t ʏ ɣ ʏ r
andalúsíu	a n t a l u s i j ʏ
andann	a n t a n
andans	a n t a n s
andanum	a n t a n ʏ m
andapollinn	a n t a pʰ ɔ t l ɪ n
andar	a n t a r
andardráttinn	a n t a r t r au h t ɪ n
andardráttur	a n t a r t r au h t ʏ r
andardrátturinn	a n t a r t r au h t ʏ r ɪ n
andardrættinum	a n t a r t r ai h t ɪ n ʏ m
andarnir	a n t a t n ɪ r
andarslitrunum	a n t a r s t l ɪ t r ɔ n ʏ m
andartakið	a n t a r t aː c ɪ ð
andartaks	a n t a r t a k s
andartaksins	a n t a r t a k s ɪ n s
andartaksstund	a n t a r t a k s t ʏ n t
andartaksþögn	a n t a r t a k s θ œ k n̥
andast	a n t a s t
andað	a n t a ð
andaði	a n t a ð ɪ
andaðist	a n t a ð ɪ s t
andaðu	a n t a ð ʏ
andblæ	a n t p l ai
andblæinn	a n t p l ai j ɪ n
andblær	a n t p l ai r
anddyri	a n t ɪ r ɪ
anddyrinu	a n t ɪ r ɪ n ʏ
anddyrið	a n t ɪ r ɪ ð
anders	a n t ɛ r̥ s
andersen	a n t ɛ r̥ s ɛ n
andersens	a n t ɛ r̥ s ɛ n s
andes	a n t ɛ s
andesfjöllin	a n t ɛ s f j œ t l ɪ n
andfuglum	a n t f ʏ k l ʏ m
andfúll	a n t f u t l̥
andhverfu	a n t k v ɛ r v ʏ
andhéri	a n t ç ɛː r ɪ
andinn	a n t ɪ n
andkommúnista	a n t kʰ ɔ m u n ɪ s t a
andköf	a n t k œ v
andköfum	a n t k œ v ʏ m
andleg	a n t l ɛ ɣ
andlega	a n t l ɛ ɣ a
andlegan	a n t l ɛ ɣ a n
andlegar	a n t l ɛ ɣ a r
andlegir	a n t l ei j ɪ r
andlegra	a n t l ɛ ɣ r a
andlegrar	a n t l ɛ ɣ r a r
andlegri	a n t l ɛ ɣ r ɪ
andlegs	a n t l ɛ x s
andlegt	a n t l ɛ x t
andlegu	a n t l ɛ ɣ ʏ
andlegum	a n t l ɛ ɣ ʏ m
andlegur	a n t l ɛ ɣ ʏ r
andlit	a n t l ɪ t
andliti	a n t l ɪ t ɪ
andlitin	a n t l ɪ t ɪ n
andlitinu	a n t l ɪ t ɪ n ʏ
andlitið	a n t l ɪ t ɪ ð
andlits	a n t l ɪ t s
andlitsdrættir	a n t l ɪ t s t r ai h t ɪ r
andlitsdrættirnir	a n t l ɪ t s t r ai h t ɪ t n ɪ r
andlitsins	a n t l ɪ t s ɪ n s
andlitslyftingu	a n t l ɪ t s t l ɪ f t i ŋ k ʏ
andlitslyftur	a n t l ɪ t s t l ɪ f t ʏ r
andlitssnyrtingu	a n t l ɪ t s t n ɪ r̥ t i ŋ k ʏ
andlitsvatnið	a n t l ɪ t s v a h t n ɪ ð
andlitum	a n t l ɪ t ʏ m
andlát	a n t l au t
andláti	a n t l au t ɪ
andlátið	a n t l au t ɪ ð
andláts	a n t l au t s
andmæla	a n t m ai l a
andmæli	a n t m ai l ɪ
andmælt	a n t m ai l̥ t
andmælti	a n t m ai l̥ t ɪ
andmælum	a n t m ai l ʏ m
